Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
935268,1225KFL17C,Kosamattam Finance Ltd,Active,F ,1000,INE403Q07177,Finance (including NBFCs),Debentures and Bonds
935270,0KFL2017D,Kosamattam Finance Ltd,Active,F ,1000,INE403Q07185,Finance (including NBFCs),Debentures and Bonds
935272,0KFL2018E,Kosamattam Finance Ltd,Active,F ,1000,INE403Q07193,Finance (including NBFCs),Debentures and Bonds
935274,13KFL2020F,Kosamattam Finance Ltd,Active,F ,1000,INE403Q08019,Finance (including NBFCs),Debentures and Bonds
935276,0KFL2020G,Kosamattam Finance Ltd,Active,F ,1000,INE403Q08027,Finance (including NBFCs),Debentures and Bonds
935282,105SREI17C,SREI Infrastructure Finance Ltd,Active,F ,1000,INE872A07TJ2,Finance (including NBFCs),Debentures and Bonds
935284,11SREI17D,SREI Infrastructure Finance Ltd,Active,F ,1000,INE872A07TK0,Finance (including NBFCs),Debentures and Bonds
935286,0SREI17E,SREI Infrastructure Finance Ltd,Active,F ,1000,INE872A07TL8,Finance (including NBFCs),Debentures and Bonds
935288,1072SREI19F,SREI Infrastructure Finance Ltd,Active,F ,1000,INE872A07TM6,Finance (including NBFCs),Debentures and Bonds
935290,1125SREI19G,SREI Infrastructure Finance Ltd,Active,F ,1000,INE872A07TN4,Finance (including NBFCs),Debentures and Bonds
935292,0SREI19H,SREI Infrastructure Finance Ltd,Active,F ,1000,INE872A07TO2,Finance (including NBFCs),Debentures and Bonds
935298,1175MFL17C,Muthoottu Mini Financiers Ltd,Active,F ,1000,INE101Q07169,Financial Institutions,Debentures and Bonds
935300,0MFL2018D,Muthoottu Mini Financiers Ltd,Active,F ,1000,INE101Q07177,Financial Institutions,Debentures and Bonds
935302,12MFL2020E,Muthoottu Mini Financiers Ltd,Active,F ,1000,INE101Q08027,Financial Institutions,Debentures and Bonds
935304,1275MFL20F,Muthoottu Mini Financiers Ltd,Active,F ,1000,INE101Q08043,Financial Institutions,Debentures and Bonds
935306,0MFL2020G,Muthoottu Mini Financiers Ltd,Active,F ,1000,INE101Q08050,Financial Institutions,Debentures and Bonds
935308,BLUENCDSR1,Blue Dart Express Ltd.,Active,F ,10,INE233B08087,Transportation - Logistics,Debentures and Bonds
935309,BLUENCDSR2,Blue Dart Express Ltd.,Active,F ,10,INE233B08095,Transportation - Logistics,Debentures and Bonds
935310,BLUENCDSR3,Blue Dart Express Ltd.,Active,F ,10,INE233B08103,Transportation - Logistics,Debentures and Bonds
935311,980IFCI19A,IFCI Ltd,Active,F ,1000,INE039A07751,Financial Institutions,Debentures and Bonds
935313,0IFCI19B,IFCI Ltd,Active,F ,1000,INE039A07769,Financial Institutions,Debentures and Bonds
935315,940IFCI19C,IFCI Ltd,Active,F ,1000,INE039A07777,Financial Institutions,Debentures and Bonds
935317,990IFCI21D,IFCI Ltd,Active,F ,1000,INE039A07785,Financial Institutions,Debentures and Bonds
935319,0IFCI21E,IFCI Ltd,Active,F ,1000,INE039A07793,Financial Institutions,Debentures and Bonds
935321,990IFCI24F,IFCI Ltd,Active,F ,1000,INE039A07801,Financial Institutions,Debentures and Bonds
935323,0IFCI24G,IFCI Ltd,Active,F ,1000,INE039A07819,Financial Institutions,Debentures and Bonds
